INFO:lora-to-gguf:Loading base model: base
INFO:lora-to-gguf:Using model architecture: Gemma4ForConditionalGeneration
INFO:gguf.gguf_writer:gguf: This GGUF file is for Little Endian only
INFO:lora-to-gguf:Exporting model...
INFO:hf-to-gguf:blk.18.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.18.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.18.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.18.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.18.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.18.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.18.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.18.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.18.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.19.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.19.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.19.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.19.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.19.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.19.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.19.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.19.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 512}
INFO:hf-to-gguf:blk.19.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {4096, 16}
INFO:hf-to-gguf:blk.19.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.19.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.19.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 4096}
INFO:hf-to-gguf:blk.19.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.19.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 512}
INFO:hf-to-gguf:blk.2.ffn_down.weight.lora_a,      torch.float32 --> F32, shape = {6144, 16}
INFO:hf-to-gguf:blk.2.ffn_down.weight.lora_b,      torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.2.ffn_gate.weight.lora_a,      torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.2.ffn_gate.weight.lora_b,      torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.2.ffn_up.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.2.ffn_up.weight.lora_b,        torch.float32 --> F32, shape = {16, 6144}
INFO:hf-to-gguf:blk.2.attn_k.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.2.attn_k.weight.lora_b,        torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.2.attn_output.weight.lora_a,   torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.2.attn_output.weight.lora_b,   torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.2.attn_q.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.2.attn_q.weight.lora_b,        torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.2.attn_v.weight.lora_a,        torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.2.attn_v.weight.lora_b,        torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.20.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.20.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.20.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.20.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.20.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.20.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.20.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.20.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.20.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.20.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.20.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.20.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.20.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.20.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.21.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.21.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.21.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.21.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.21.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.21.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.21.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.21.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.21.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.21.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.21.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.21.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.21.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.21.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.22.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.22.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.22.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.22.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.22.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.22.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.22.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.22.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.22.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.22.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.22.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.22.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.22.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.22.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.23.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.23.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.23.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.23.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.23.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.23.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.23.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.23.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.23.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {2048, 16}
INFO:hf-to-gguf:blk.23.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.23.attn_q.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.23.attn_q.weight.lora_b,       torch.float32 --> F32, shape = {16, 2048}
INFO:hf-to-gguf:blk.23.attn_v.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.23.attn_v.weight.lora_b,       torch.float32 --> F32, shape = {16, 256}
INFO:hf-to-gguf:blk.24.ffn_down.weight.lora_a,     torch.float32 --> F32, shape = {12288, 16}
INFO:hf-to-gguf:blk.24.ffn_down.weight.lora_b,     torch.float32 --> F32, shape = {16, 1536}
INFO:hf-to-gguf:blk.24.ffn_gate.weight.lora_a,     torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.24.ffn_gate.weight.lora_b,     torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.24.ffn_up.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.24.ffn_up.weight.lora_b,       torch.float32 --> F32, shape = {16, 12288}
INFO:hf-to-gguf:blk.24.attn_k.weight.lora_a,       torch.float32 --> F32, shape = {1536, 16}
INFO:hf-to-gguf:blk.24.attn_k.weight.lora_b,       torch.float32 --> F32, shape = {16, 512}
INFO:hf-to-gguf:blk.24.attn_output.weight.lora_a,  torch.float32 --> F32, shape = {4096, 16}
INFO:hf-to-gguf:blk.24.attn_output.weight.lora_b,  torch.float32 --> F32, shape = {16, 1536}
